customer_id,antiguedad_dias,ciudad,tipo_cliente,canal_principal,tiene_contrato,num_envios_6m,valor_total_6m,ticket_promedio,dias_ultimo_envio,num_reclamos_6m,tasa_entrega_exitosa,nps_score,churn
eba190fb9ed9cc38,1273.0,Medellín,Natural,Web,0,6.0,83400.0,13900.0,31.0,0.0,0.8788,6.7,0
4ac66c326fa997c5,419.0,Cali,Empresa,API,1,16.0,785600.0,49100.0,94.0,1.0,0.9336,4.5,0
d82c91ffabf02a54,1592.0,Bogotá,Empresa,App,0,8.0,833600.0,52100.0,31.0,1.0,0.8486,7.3,0
90867e0226bd9f39,1273.0,Cali,Natural,Web,0,4.0,36288000.0,10300.0,40.0,4.0,0.8884,7.7,1
ec8f73f35fe3a31f,2065.0,Bogotá,Natural,Punto físico,1,5.0,172600.0,14000.0,31.0,2.0,0.8474,7.2,0
57d0825b82002c66,557.0,Cartagena,Ecommerce,Punto físico,0,23.0,434700.0,18900.0,40.0,1.0,0.8788,7.3,0
84cf3710f24ea7f3,1468.0,Medellín,Empresa,Punto físico,1,8.0,236800.0,29600.0,33.0,5.0,0.8788,7.6,1
9b53ee7569c12e76,1298.0,Medellín,Natural,App,0,6.0,109200.0,18200.0,41.0,1.0,0.7996,5.0,1
711c45a653d79c54,800.0,Cartagena,Ecommerce,App,0,24.0,542400.0,22600.0,2.0,0.0,0.9722,8.9,0
5ace95769048d731,1110.0,Pereira,Empresa,Punto físico,0,7.0,243600.0,34800.0,121.0,3.0,0.9909,7.9,0
9f45e8307fd8ec2a,1547.0,Bogotá,Natural,Web,0,4.0,62800.0,15700.0,26.0,2.0,0.8217,7.3,1
3bfbc4069a04bcdc,1487.0,Bucaramanga,Natural,Web,1,3.0,30600.0,10200.0,42.0,1.0,0.8813,7.5,0
69dad68910ebc48c,1519.0,Bogotá,Natural,Web,0,2.0,13000.0,6500.0,21.0,3.0,1.0,2.0,1
07bd500d91e269db,1388.0,Cúcuta,Empresa,App,1,6.0,172600.0,45200.0,150.0,0.0,0.9275,1.5,1
614cb3f9672e48c8,530.0,Bogotá,Empresa,Web,0,12.0,658800.0,15900.0,15.0,2.0,0.8352,6.5,1
2a7df7deb9431557,1997.0,Cúcuta,Natural,App,1,8.0,15900.0,15900.0,59.0,1.0,0.823,6.5,0
a7fa4815e58936b8,1116.0,Barranquilla,Natural,Punto físico,0,5.0,33000.0,6600.0,34.0,0.0,0.9242,4.7,0
d6f9138185a20c9b,2083.0,Cartagena,Natural,Web,0,2.0,22200.0,11100.0,17.0,2.0,0.8788,6.0,1
bb4f6885f923fda4,2161.0,Cartagena,Natural,App,0,3.0,33600.0,11200.0,33.0,2.0,1.0,6.6,0
